course_id,course_name,category,teacher,description
C_676683,积极心理学（下）自强不息篇,心理学,MOOCCubeX,本课程是积极心理学基础入门的概述性课程，旨在让学生科学系统地了解积极心理学的研究范畴，包括幸福、美德、亲社会心理与行为、福流、价值观与人生意义、积极心理学应用等内容。
C_676685,经典导读与欣赏,未标注,MOOCCubeX,该课程以“审美、鉴赏、交流”为核心，集知识性与趣味性、思想性与艺术性、实用性与审美性于一体。
C_676686,经典与思考——人文清华大师面对面,教育学,MOOCCubeX,人文清华慕课，汇集清华大学最优秀的人文社科学者。每个单元认识一位大家、了解一门学科，精读一本著作，深入思考一个问题。
C_676687,决胜移动互联网：创业者的商业模式课,工商管理,MOOCCubeX,如何理解移动互联网时代的商业模式？如何运用移动互联网开展颠覆式创新？如何把握未来机遇？本课程帮助你系统学习移动互联网时代的创新及成长之道。
C_676692,科举与中国文化,未标注,MOOCCubeX,【国家精品课】科举制与科举文化是中国文化的重要组成部分，其对中国传统文化的特质、中国传统知识分子的政治品格、普通大众的价值观念等都产生了重要的影响。本课程为国家精品在线开放课程。
C_676697,孙子兵法,战术学,MOOCCubeX,本课程按五大模块，即兵圣孙武、价值论、战争观、将帅观、谋略思想，从理论与实践两个层面分七讲讲授《孙子兵法》的军事战理，及蕴含其中的企业智慧、人生哲学等。
C_676705,民法与生活,法学,MOOCCubeX,本课程是一门面向非法学专业学生及社会人士修读的法律类课程。民法源于生活，人的一生无时无刻不与民法息息相关。课程通过讲解大量经典案例，介绍民法的基本概念、基本制度和基本理论，使受众者增强权利意识，学会从民法的角度观察生活，并运用民法指导自己的生活，维护自己的合法权益。
C_676820,外国工艺美术史,艺术学,MOOCCubeX,【国家精品课】本课程为清华大学人文素质核心课程。一部工艺美术史，是人类文明不断发展，演变和进步历程的形象记录。
C_676885,幼儿音乐教育与活动指导,未标注,MOOCCubeX,本课程针对学前教学专业学生或打算未来从事幼儿教育工作者开设，指导学生获得计划、设计、实施、评价幼儿音乐教育与活动的知识与能力，为实践做准备，促进学前教育专业学生（以及在职幼儿教师）的专业化成长。
C_676887,技术创新管理,未标注,MOOCCubeX,谷歌、华为、3M、科大讯飞、可口可乐、雀巢、西门子……都是如何走向成功的？清华大学经济管理学院陈劲教授带你解读技术创新背后的管理思维！
C_676890,环境污染事件与应急响应,环境科学与工程,MOOCCubeX,"课程采用案例教学和讨论式教学。首先讲述环境应急管理概论。然后对国内外重大环境突发事件，如松花江水污染事件、太湖蓝藻爆发导致水污染事件、莱茵河水污染事件、伦敦烟雾事件、北京雾霾事件及天津大爆炸事件等进行研讨。对重大环境污染事件产生的背景、原因、生态恢复措施、责任追究、应急处置措施、生态环境影响等多种方式的讨论。课程采用启发式教学，采用教师先介绍事件背景，提出不同的问题，吸引学生思考。然后教师进行归纳解答的方式进行教学。
       对环境应急管理体系、环境应急管理的预警预防和准备、环境应急响应进行探讨。对我国环境应急管理的内涵、特点、基本原则、应急体系等进行总结，使学员对我国的环境应急管理体制有更深刻的认识。"
C_676897,现代礼仪与修养,未标注,MOOCCubeX,《现代礼仪与修养》  课程共有八个章节，礼仪文化--感受文化底蕴、个人形象礼仪--打造360度无死角完美形象、日常交往礼仪--礼仪细节决定成败、职场礼仪--让你获得职场好人缘、商务礼仪--赢在礼仪、赢在职场、交际沟通礼仪--优秀的人从来不会输在表达上、日常茶礼仪--以茶会友，传承中国茶文化、涉外礼仪--具备在国际交往中获得尊重的能力
C_676898,物理与人类未来,社会学,MOOCCubeX,我们生活在科学和技术的年代，将领略科学在财富、医学、人工智能、纳米技术、新能源及航天等领域带来的革命性发展。谁将是未来的赢家和输家？本课通过具体的物理图像而不是数学方法，呈现古典与现代物理学的广阔视野。This course presents classical and modern physics
C_676900,诗情画意的光学,光学工程,MOOCCubeX,本课程为大学物理中光学的全部内容，包括几何光学、波动光学和光量子理论三大部分。对中学没有学过光学模块的也可在这里完成从入门到提高的全过程。另外本课程力求摆脱以应试来学习物理课程的不良学习习惯，在课程中贯穿科学史并尝试用人文色彩讲述光学课程。
C_676902,西方思想经典与现代社会,社会学,MOOCCubeX,【国家精品课】在21世纪的今天，是否每个人每个国家都已进入现代社会？现代社会与古代社会分别建立在哪些原则上？权利原则的确立是人类迈向现代社会的一个标志。
C_676907,社会创新与创业,未标注,MOOCCubeX,通过对社会创新领域专业与通识内容的广泛学习、探索与实践，全面多角度地了解和掌握社会创新的基本理论与方法。
C_676915,现代礼仪,艺术学,MOOCCubeX,现代社会离不开人际交往，人际交往离不开现代礼仪。课程融理论性、指导性、实践性、艺术性和趣味性为一体，助你成为有修养、有品位、有风度、有气质，懂得爱己爱人的现代人。
C_676918,技术创新简史,科学技术史,MOOCCubeX,本课程讲述18世纪以来工业革命的技术创新规律和重要领域的技术变革，总结前三次工业革命的历史经验，着重分析第四次工业革命对经济社会产生的影响。
C_676934,设计的力量,艺术学,MOOCCubeX,本课程主要以人类设计历史，尤其是过去250年中发生的重大历史事件为线索，梳理设计在国家发展过程中产生的重大影响。
C_676950,比较宪法,法学,MOOCCubeX,宪法决定我们的生活方式。因为宪法规范国家权力，配置社会资源。如何通过宪制安排促进权力与资源的合理分配？各国宪法制度各异而又有异曲同工之处。
C_676953,汇编语言程序设计,计算机科学与技术,MOOCCubeX,不仅仅是一门编程语言，汇编语言更是计算机系统软硬件的分界与桥梁，是理解整个计算机系统的有效起点，为学习后续的计算机系统课程打下基础。
C_676962,自然保护与生态安全：拯救地球家园,环境科学与工程,MOOCCubeX,本课程采用最新数据和案例，讲述自然保护的基础知识、现状和热点问题。探讨生态危机对人类的威胁，寻求拯救地球家园的方法。
C_676967,华文教育技术与实践,外国语言文学,MOOCCubeX,教学数字化，让华文学习更有趣、更有效！（Digital teaching makes Chinese learning more interesting and effective. ）
C_676969,中国房地产发展之路,理论经济学,MOOCCubeX,课程以透析房地产业的各级产业链和房地产的各物业类型为双向维度展开，剖析房地产业在国民经济中的地位以及房地产业和房地产市场发展所面临的挑战。
C_676978,原来姹紫嫣红开遍——昆曲艺术欣赏,艺术学,MOOCCubeX,课程将介绍昆曲的基本知识，包括中国戏曲概况、昆曲的来龙去脉、昆曲的剧目、昆曲的艺术特色、昆曲的音乐和语言、昆曲的现状和展望等。
C_676996,20世纪西方音乐,未标注,MOOCCubeX,基于20世纪西方音乐，什么是音乐、什么是20世纪西方音乐及什么是有效聆听为全课核心线索，引导学生发展美感能力，促进其全面聆听能力的培养。
C_677004,古诗今读,未标注,MOOCCubeX,该课程采用师生对话的形式，以古诗为主题，以问题为导向，引导大家对古诗的文本细读并探究其内在逻辑，以提高对古诗的兴趣和鉴赏体悟能力。
C_677009,大学美育,未标注,MOOCCubeX,美，不仅是抽象的理论，也是感性的欣赏；美，不仅隶属于艺术的王国，也包含了对自然和人生的体验和感悟。让我们怀着这样的信念，一起踏上曼妙的寻美之旅。
C_677010,Java程序设计,计算机科学与技术,MOOCCubeX,【国家精品课】课程介绍Java的基础语法和面向对象的程序设计方法和GUI程序开发方法。
C_677014,中国传统文化,未标注,MOOCCubeX,课程以中国传统文化的基本精神为主线，分模块，从多层次、多角度展示了儒道释文化，兵法、文学、音乐、绘画、书法等中国传统文化的主要内容和特色，最后归结到世界格局中的中国文化和新世纪中国文化的展望，形成了浓厚的人文氛围。
C_677019,英语畅谈中国,未标注,MOOCCubeX,课程以英语为授课语言媒体，展示中国传统文化的特色内容和亮点精华，使学习者在了解中国文化的同时有效提高英语能力，成为走向世界的中国文化传播者。
C_677020,中国古代礼义文明——礼学经典,历史学,MOOCCubeX,中国是传承千年的礼仪之邦，中国文化的核心是礼。本课程将枚举一些文献材料，再辅之以一些分析举例，深入浅出地讲授中国古代礼仪文明的基本框架。
C_677028,中国古代礼义文明——礼制,历史学,MOOCCubeX,讲授中国古代礼义文明的基本框架，使学生在了解中华传统礼义的过程中培养人文情怀，塑造优秀品格，关心社会民生，进而在日常生活中践行礼与义。
C_677031,传播学原理,新闻传播学,MOOCCubeX,【国家精品课】传播无处不在，传播无时不有。50年前，麦克卢汉发出惊世之语：媒体是人体的延伸。如今，我们人人都是媒体，时时都在传播。
C_677038,e时代的大佬师——慕课教师的修炼心法,教育学,MOOCCubeX,慕课正在逐渐改变着教与学的模式，将最新的教育理念和技术手段服务于教育的改革之中。本课将深入探讨慕课的制作与运营，武装每一位e时代的老师。
C_677043,慕课问道,体育学,MOOCCubeX,问慕课之道，解慕课之惑。学习了本课程，你将能够对慕课的形态、发展趋势、与高等教育的关系等有具体的认识和深入的思考。
C_677045,e时代的教与学——慕课引发的混合式教学,教育学,MOOCCubeX,混合式教学，在线学习与常规师生面授教学相结合，将带来教学模式的新变革。本课由清华大学的第一批混合式教学实践教师现身说法，为您分享他们的经验。
C_677052,C程序设计案例教程（基础）,未标注,MOOCCubeX,C语言曾开发出UNIX操作系统等经典系统。随着物联网、人工智能、大数据、云计算等新技术不断发展，也广泛用于开发各种应用程序，且易于使用，还具有硬件底层执行能力，因此能够持久丰富与发展，在TIOBE世界排行榜中始终位于前列。
C_677055,实用绳结技术,战术学,MOOCCubeX,你系鞋带儿的方法对吗？你知道发生火灾时如何从高处使用绳索逃生吗？想学习用绳结编个漂亮的手链或者小蜻蜓吗？想学习更多的绳结知识吗？小绳结也有大学问！大连海事大学《实用绳结技术》是一门具有航海特色、通识和专业兼具的有趣的课程，大家来看看吧！
C_677061,中国少数民族神话赏析,中国语言文学,MOOCCubeX,在中华民族文明史上，55个少数民族神话是一笔珍贵的文化遗产。同学们在富有启迪的少数民族神话赏析中，体悟中华民族神话多元一体、美美与共的民族精神，享受少数民族神话特有的神韵与内涵。
C_677077,中国文学名著选读,未标注,MOOCCubeX,本课程选取中国文学有时代及文体代表性的名家名作，以朝代为时间线索，以作品为精研对象，以文体为扩展知识点，引导大家“漫步文学长廊，察观文体衍变，传承文化星火”，深入系统赏析中国文学名著。​​
C_677076,美国政治概论,政治学,MOOCCubeX,一个年轻的国家，拥有历史悠久的宪法；追求民主，却提防民粹；热爱自由，却同样热爱法律——美国，一个谜一样的国家，本课程带你理解它的政治机制。
C_677087,中国哲学经典著作导读,中国语言文学,MOOCCubeX,这是一个全球化、信息化、快餐化的时代；全球化拷问着人们的文化根基，信息化拷问着人们的价值信仰，快餐化拷问着人们的经典阅读。 民族的就是世界的。为继承弘扬中华文化传统，我们特意打造这门课，希冀提供一个阅读哲学经典、传承中国文化、铸造民族精神的平台，让中国文化走向世界、走向未来。
C_677089,结构力学,力学,MOOCCubeX,习武要锻炼筋骨，写文章要理清脉络。结构力学就是教您分析建筑的“筋骨”——结构怎样受力、传力和变形，理清力学思维脉络的秘籍。
C_677095,庄子哲学导读,哲学,MOOCCubeX,闻一多说：“中国人的文化上永远留着庄子的烙印。”每一个中囯人，都应该读一读《庄子》。
C_677093,人像摄影,未标注,MOOCCubeX,本课程重点讲授：人像摄影器材与使用、人像摄影的用光造型、人像摄影的构图技巧、人像摄影的摆姿技巧、人像摄影的色彩和影调的应用，对学习创作人像摄影作品有非常好的借鉴作用。
C_677102,走进性科学,教育学,MOOCCubeX,"性很污吗？性只可意会不可言传吗？性只是两腿之间的事吗？你是否想窥视性即又不敢正视性呢？课程将以全新的理念让你了解“全面的性”。掌握性卫生保健知识、增强自我保护意识和能力、理智看待社会性现象、正确处理两性关系、增强作决定能力和背后的责任。
让我们一起走进性科学，去揭开性的神秘面纱！助力健康中国行动！
"
C_677110,科学计算与MATLAB语言,未标注,MOOCCubeX,当前，科学计算已经成为科学研究、技术创新的重要方法与手段，MATLAB为众多领域的科学计算问题提供了全面的解决方案，被誉为巨人肩膀上的工具。通过本课程的学习，我们将能站在巨人的肩膀上领略各种计算之美。
C_677118,走近中华优秀传统文化,社会学,MOOCCubeX,本课程以经典文本为据，以古今案例为辅，深入浅出，使学习者以真实不妄的态度“走近”中华优秀传统文化，了解中华传统文化基本理念，正确认识和弘扬传统文化。
C_677130,歌唱启蒙与表演——教你成为歌唱达人,未标注,MOOCCubeX,我们天天在说话、经常会因为愉悦的心情而尽情高歌，可是你知道如何科学用嗓吗？你知道如何唱出美妙的歌声吗？学习这门课程，相信你会慢慢理解“人声合一”的科学用嗓方法。
C_677129,媒体大数据挖掘与案例实战,未标注,MOOCCubeX,什么是大数据（Big Data）？它将如何改变我们的社会生活？《媒体大数据挖掘与案例实战》课程内容涵盖“大数据”的主要几个方面，包含数据获取、文本分析、网络分析、数据挖掘和大数据可视化等方面，旨在帮助学生认识大数据，同时学习方法，掌握相关技术。
C_677133,数据库系统（上）：模型与语言,未标注,MOOCCubeX,《数据库系统》不仅是计算机、软件工程等专业的核心课程，而且也是非计算机专业学生必修的信息技术课程。当前互联网+与大数据，一切都建立在数据库之上，以数据说话，首先需要聚集数据、需要分析和管理数据。数据库技术已成为各种计算系统的核心技术，数据库相关知识也已成为每个人必须掌握的知识。  ​
C_677136,教学论,未标注,MOOCCubeX,建国君民，教学为先；立德树人，教学为本。透过千百年来教学思想、实践的纷繁迷雾，本课程致力于揭示教学规律，确立教学价值，优化教学技术，努力探寻教学最本真的世界。
C_677140,数据库系统（下）：管理与技术,未标注,MOOCCubeX,数据库管理系统(DBMS)是数据库系统的核心，本课程探讨DBMS本身的实现技术，即算法和系统性能相关的内容。学好本课程对今后从事大数据系统开发、数据库管理系统开发和系统软件开发有重要帮助。 ​
C_677142,国学入门,未标注,MOOCCubeX,本课程为国学通论课，以传播中国传统文化为宗旨，通过对国学典籍传承、整理等文献基本知识的介绍，以及对经、史、子、集四部国学根柢书的分类学习，你将获得国学的基本知识和入门门径，进一步理解中华传统文化的核心思想观念、价值取向，树立文化自信，增强传承中华文化的社会责任感、使命感。
C_677144,游戏心理学,未标注,MOOCCubeX,本课程为游戏设计专业方向的核心课程，也是跨领域交叉课程。课程将在游戏内容、游戏表现以及游戏体验等设计层面为设计师提供有效的理论支持，帮助大家在进行游戏开发时更好地考虑玩家心理，使作品更加容易被玩家喜爱。
C_677150,Web开发技术,未标注,MOOCCubeX,本课程将引导你构建整个Web开发的知识体系，循序渐进地将你领进Web开发的大门。
C_677159,影视制作入门,艺术学,MOOCCubeX,做片子，你需要的所有知识都在这里。
C_677161,道路交通环境保护,未标注,MOOCCubeX,在《道路交通环境保护》课程中，我将带领你用系统方法去分析道路交通建设和运营带来的污染和破坏，并用定量化方法来预测和评价这些影响。
C_677164,酒·文化,未标注,MOOCCubeX,本课程重点从白酒、威士忌、白兰地等蒸馏酒和果酒、葡萄酒及啤酒等酿造酒的来源故事及酿造工艺来学习酒及其历史文化，拓展知识面，尤其是加深对中国酒文化的深入了解。
C_677167,设计之美,未标注,MOOCCubeX,设计之美是设计类专业的重要核心理论课程，也是审美素质教育的通识课程。启发学习者用审美的眼光反思设计问题，培养审美思维，提高审美素养，有助于提升设计创意能力。
C_677168,影视广告设计,未标注,MOOCCubeX,本课程是给广告设计、广播电视等专业学生开设的专业必修课程。
C_677172,大学物理（力学）,未标注,MOOCCubeX,哈尔滨工业大学物理教研室集体打造的《大学物理（力学）》课程，将用生动形象的语言、趣味横生的演示实验、多变的视角，向你们展现一个丰富多彩的物理世界，和你们一起感受自然和科学的无穷魅力。
C_677174,智圆行方的世界： 中国传统文化概论,中国语言文学,MOOCCubeX,本课既非以哲学史、亦非以思想史、更非以断代史的方式介绍中华优秀传统文化，而是从中华优秀传统文化的文化精神及思维方式入手，展开中华文化的历史画卷。
C_677179,古典社会学理论,未标注,MOOCCubeX,学习经典社会学理论，是思考和理解现代社会生活的重要途径。本门课程通过对马克思、韦伯、涂尔干、托克维尔、结构功能主义、社会冲突论、社会交换论和符号互动论的讲述，为大家铺就了一条通向经典社会学理论的现实道路。
C_677185,影像中的人类学,艺术学,MOOCCubeX,在这门课程中，你可以看到影视作品、纪录片，从而探索其中人类学、民族志的奥妙。
C_677189,家庭理财,应用经济学,MOOCCubeX,本课程注重家庭理财实战技能及基本策略，涵盖全生命周期的理财规划，包括现金规划、风险与保险、消费信贷、退休养老、子女教育金、税收筹划、遗产传承、婚姻与财富等。每节知识点，配套有练习和思考题，学练结合，效率倍增。
C_677193,创业运营演练,未标注,MOOCCubeX,《创业运营演练》是一门创业及经济管理实验类课程。课程内容涉及企业完整的经营过程，使学生能够观察经营中出现的各种典型问题，发现机遇，分析问题，感悟正确的经营思路和管理理念。
C_677192,视听语言,未标注,MOOCCubeX,本课程的教学从了解视听语言的表达方式和传播效果的基本功能入手，分析视听语言的基本要素和结构特点，使学生掌握影像的造型功能和作用，熟悉影像作用于固定镜头和运动镜头上的特点和功能。
C_677236,心理学与生活,心理学,MOOCCubeX,用最生活的语言，教会你最专业的心理学知识！
C_677241,校园心理学：让每一个学生顺利成长,心理学,MOOCCubeX,本课程在心理学知识的讲解中穿插有大量实践案例，通俗易懂，对于开展学校、班级心理建设有针对性的指导。此外，我们也推荐家长朋友加入学习，对于您更理解孩子的心理状况，加强亲子沟通也会有很大帮助。
C_677243,《易经》的政治智慧,未标注,MOOCCubeX,《易经》作为群经之首，其确立的治国理政逻辑既不是占算卜筮，也不是狭义的修身处世，而是一种基于天道规律来大时空利他的制度演化规律，形成了“时空、利他、简化”的政治智慧逻辑。《易经》从“天行健，君子以自强不息”的天道担当来昭示君子的政治担当，君子效法天道，主动担当，将天道规律转化为人间制度，拥有了这个政治智慧，就拥有了人生智慧，我们经常说自私的人不可能做大，其原理就在这里。
C_677249,质性研究方法,未标注,MOOCCubeX,在这个系列的课程中，授课教师将结合自己十余年来自己的研究经验、给全日制研究生教授质性研究方法中遇到的常见议题，以及很多想要用质性方法完成课题申报和课题研究的经验，来分享质性研究的方法、技巧、程序和路径。
C_680710,长安与中国佛教,未标注,MOOCCubeX,  《长安与中国佛教》分人物、佛寺、宗派、经典、文学、艺术、历史七个章节，41集。实景拍摄，画面唯美，全面系统地介绍相关知识。
C_680714,电子商务,未标注,MOOCCubeX,弘扬电商理念：互联网改变了传统的商业模式，电子商务开启了追逐梦想的大门，带来前所未有的巨大机遇。突出管理特点：贴近市场需求：阐释了大数据营销、互联网商业模式创新等内容。
C_680716,营销策划,未标注,MOOCCubeX,营销策划是企业通过有策略的营销方案和活动，影响消费者行为，实现企业营销目标的学科。通过学习营销策划，可以树立系统的营销策划思维，掌握包括新产品上市策划、品牌策划、企业形象策划、促销策划及网络策划等全面的企业营销策划方法和技巧。
C_680719,中国电影艺术简史,未标注,MOOCCubeX,本课讲授中国电影史及几种电影形态（旧市民电影、新市民电影、左翼电影、国粹电影、国防电影），课程设计将文本与视频相结合，有完整个案读解，又有片段介绍，使学生整体掌握中国电影史并对电影艺术有直观的认识。
C_680722,醉美葡萄酒,未标注,MOOCCubeX,《醉美葡萄酒》是一门认识葡萄酒、欣赏葡萄酒的理论与实践相结合的课程。课程内容包括：葡萄酒文化、葡萄品种、葡萄园风土、葡萄酒工艺、葡萄酒储存、餐酒搭配、葡萄酒品尝及质量鉴定的综合性课程。
C_680724,质量管理,未标注,MOOCCubeX,本课程可作为管理类本科生的专业基础课程，配合统计基础课程的学习，系统化的学习统计质量控制工具、质量经济分析方法，工序能力和可靠性分析方法以及6sigma管理前沿理论；对于从事生产运作管理、车间管理和品质管理的从业人员，也可以获得系统化的质量管理基础知识和技能训练。
C_680726,汉语文字词汇,中国语言文学,MOOCCubeX,同学们，大家好！欢迎加入文字词汇课程。在日常生活中，你是不是也遇到过很多看似简单但却令人疑惑的问题，如：“立即”的“即”和“既然”的“既”为什么不同？可以说“很少下雨”，为什么不能说“很多下雨”？“妈”和“娘”意思相同，为什么“姑妈“和”姑娘”却完全不同？让我们的课程给你答案吧。
C_680728,现代企业物流,未标注,MOOCCubeX,课程将企业物流科学管理，降低企业物流成本的路径，保证物流服务质量，现代物流最新理念等经典物流知识点离散化与实际应用有机结合，基础知识与拓展应用兼顾，是物流工程、供应链物流及供应链管理的入门课程。
